2026-08-08	EP9000-UCES01452_00-INE0ROCKIDL00035	PKG	PSP DLC	Buzz!™: ROCK IDOLS QUIZ	
2026-08-08	JP0025-NPJR00039_00-GZ001C02CT001001	RAP	PS3 THEME	none	
2026-08-08	JP0025-NPJR00039_00-GZ001C02CT002001	RAP	PS3 THEME	none	
2026-08-08	JP0031-NPJR00020_00-DLCPACKAGE000026	RAP	PS3 THEME	none	
2026-08-08	JP0031-NPJR00020_00-DLCPACKAGE000034	RAP	PS3 THEME	none	
2026-08-08	JP0031-NPJR00026_00-CUSTOMTHEME00001	RAP	PS3 THEME	none	
2026-08-08	JP0031-NPJR00026_00-CUSTOMTHEME00004	RAP	PS3 THEME	none	
2026-08-08	JP0036-BLJM60394_00-PS3THEMEBBEX0001	RAP	PS3 THEME	none	
2026-08-08	JP0036-NPJR00008_00-BBCUSTOMTHEME000	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61248_00-CUSTOMTHEMEXX020	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61248_00-CUSTOMTHEMEXX021	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61248_00-CUSTOMTHEMEXX024	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61248_00-CUSTOMTHEMEXX025	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61248_00-CUSTOMTHEMEXX027	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61248_00-CUSTOMTHEMEXX038	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61248_00-CUSTOMTHEMEXX039	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61248_00-CUSTOMTHEMEXX041	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61332_00-BASARATHEMEPS301	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61332_00-BASARATHEMEPS302	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61332_00-BASARATHEMEPS303	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61332_00-BASARATHEMEPS304	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61332_00-BASARATHEMEPS305	RAP	PS3 THEME	none	
2026-08-08	JP0102-BLJM61332_00-BASARATHEMEPS306	RAP	PS3 THEME	none	
2026-08-08	JP0102-NPJB00235_00-EXTROOPERSTHEME1	RAP	PS3 THEME	none	
2026-08-08	JP0102-NPJR00011_00-THEME00000000001	RAP	PS3 THEME	none	
2026-08-08	JP0102-NPJR00018_00-SEIGUNTHEME00000	RAP	PS3 THEME	none	
2026-08-08	JP0102-NPJR00018_00-TOUGUNTHEME00000	RAP	PS3 THEME	none	
2026-08-08	JP0177-NPJR00012_00-ROFANDEOETHEME01	RAP	PS3 THEME	none	
2026-08-08	JP0404-NPJB00576_00-CUSTOM000PS30002	RAP	PS3 THEME	none	
2026-08-08	JP0404-PCSG00087_00-CUSTOM000PS30001	RAP	PS3 THEME	none	
2026-08-08	JP0404-PCSG00087_00-CUSTOM000PS30002	RAP	PS3 THEME	none	
2026-08-08	JP0404-PCSG00087_00-CUSTOM000PS30003	RAP	PS3 THEME	none	
2026-08-08	JP0404-PCSG00087_00-CUSTOM000PS30004	RAP	PS3 THEME	none	
2026-08-08	JP0404-PCSG00087_00-CUSTOM000PS30005	RAP	PS3 THEME	none	
2026-08-08	JP0761-NPJR00003_00-THEME00000000000	RAP	PS3 THEME	none	
2026-08-08	JP9000-NPJA00070_00-JOURNEYCONCEPTDT	RAP	PS3 THEME	none	
2026-08-08	JP9000-NPJA00070_00-JOURNEYDYNAMICTH	RAP	PS3 THEME	none	
2026-08-08	JP9000-NPJQ00009_00-CUSTOMTHEME00002	RAP	PS3 THEME	none	
2026-08-08	JP9000-NPJQ00010_00-HRTHEME000000001	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION301PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION302PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION303PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION304PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION305PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION306PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION307PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION308PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION309PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION310PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION311PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION312PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION313PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION314PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00027_00-EVANGELION315PS3	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00031_00-THEMEKYUBEY00001	RAP	PS3 THEME	none	
2026-08-08	JP9003-NPJQ00031_00-THEMEWITCH000001	RAP	PS3 THEME	none	
2026-08-08	JP9003-PCSC00042_00-130328SSAC001PS3	RAP	PS3 THEME	none	
